Business Name,Lead Type,Area,Offer Angle,Public Website,Suggested First Message,Status,Next Action,Source
Wise Choice Summer Camp at Albizu University,Summer Camp,Doral,Camp or daycare Christmas-in-July visit,https://www.wisechoicesummercamp.com/locations/doral-lo,"Ask who plans theme days and send the Summer Santa page.",New lead,Find public contact form or phone,Web search result
City of Doral Parks and Recreation Camps,City Camp,Doral,Christmas-in-July camp activity,https://www.cityofdoral.com/Departments/Parks-and-Recreation/Camps,"Ask who handles camp enrichment or special guest activities.",New lead,Find parks contact and send email,Web search result
KLA Schools of Doral,Preschool / Daycare,Doral,Story time and photo visit,https://www.klaschools.com/doral/summer-camp,"Mention summer camp and ask if a short Christmas-in-July visit could fit a theme day.",New lead,Use inquiry/contact page,Web search result
World of Kids Academy,Summer Camp / Preschool,Doral,Camp story visit,https://worldofkidsacademy.com/programs/summer-camp/,"Ask about a short bilingual Santa visit for a summer activity day.",New lead,Find public contact form,Web search result
Key Point Academy Doral,Preschool / Summer Camp,Doral,Camp story visit,https://keypointacademydoral.com/summer-camp/,"Mention their summer camp themes and offer a simple Santa story/photo moment.",New lead,Use public contact info,Web search result
Kidzone Learning Center,Preschool / Summer Camp,Doral,Christmas-in-July daycare visit,https://kidzone-learningcenter.com/,"Ask who plans summer camp activities and send the Summer Santa page.",New lead,Find public contact form,Web search result
Jumpin' Jamboree Doral,Kids Venue / Summer Camp,Doral,Photo pop-up or camp visit,https://jumpinjamboree.com/kids-summer-camp-doral/,"Ask about a Christmas-in-July photo visit or special guest for camp.",New lead,Use public contact form,Web search result
Doral Pet Care Grooming Salon,Pet Business,Doral,Pet photos with Santa,https://www.doralpetcare.com/doral-florida-dog-grooming,"Pitch a pet photos with Santa pop-up for summer or December.",New lead,Find public contact page,Web search result
Woof Gang Bakery and Grooming Doral,Pet Store / Groomer,Doral,Pet photos with Santa,https://woofgangbakery.com/pages/locations/doral,"Pitch a Christmas-in-July pet photo pop-up.",New lead,Use store contact info,Web search result
Petco Dog Grooming Doral,Pet Grooming,Doral,Pet photos with Santa,https://stores.petco.com/fl/doral/full-service-grooming-doral-fl-1539.html,"Ask if local store events or pet photo days are planned.",New lead,Call store or find local contact,Web search result
Villa Doral Master Homeowners Association,HOA,Doral,Resident photo pop-up,https://websites.vertilinc.com/villadoral/,"Ask who handles resident activities and clubhouse events.",New lead,Find manager/contact form,Web search result
Campbell Property Management,Property Management,South Florida,HOA resident events,https://www.campbellpropertymanagement.com/,"Ask if any managed communities need Santa for resident events.",New lead,Find public contact form,Web search result
FirstService Residential Florida,Property Management,Florida / South Florida,HOA resident events,https://www.fsresidential.com/florida/news-events/events-seminars/,"Ask who handles lifestyle or resident-event vendor referrals.",New lead,Find public vendor/contact path,Web search result
PMI Brickell Doral Association Management,Property Management,Doral / Miami,HOA resident events,https://www.miamiassociationmanagement.com/doral-association-management,"Ask about Santa options for community events and holiday parties.",New lead,Use contact form,Web search result
